Word1,Word2,Similarity
happy,delighted,1.845826690498331
happy,ecstatic,2.538973871058276
happy,cheerful,1.6916760106710724
happy,calm,1.3350010667323402
happy,peaceful,1.6916760106710724
happy,relaxed,1.1526795099383855
happy,quiet,0.7472144018302211
happy,serene,1.2396908869280152
happy,angry,2.2512917986064953
happy,irritated,1.55814461804655
happy,enraged,2.0281482472922856
happy,annoyed,1.55814461804655
happy,hateful,2.2512917986064953
happy,sad,2.0281482472922856
happy,depressed,1.55814461804655
happy,grief,1.6916760106710724
happy,unhappy,2.0281482472922856
happy,upset,1.4403615823901665
delighted,happy,1.845826690498331
delighted,ecstatic,1.845826690498331
delighted,cheerful,1.845826690498331
delighted,calm,1.4403615823901665
delighted,peaceful,1.845826690498331
delighted,relaxed,1.2396908869280152
delighted,quiet,0.8043728156701697
delighted,serene,1.3350010667323402
delighted,angry,2.0281482472922856
delighted,irritated,1.6916760106710724
delighted,enraged,1.845826690498331
delighted,annoyed,1.6916760106710724
delighted,hateful,2.0281482472922856
delighted,sad,2.2512917986064953
delighted,depressed,1.6916760106710724
delighted,grief,1.845826690498331
delighted,unhappy,2.2512917986064953
delighted,upset,1.55814461804655
ecstatic,happy,2.538973871058276
ecstatic,delighted,1.845826690498331
ecstatic,cheerful,1.6916760106710724
ecstatic,calm,1.3350010667323402
ecstatic,peaceful,1.6916760106710724
ecstatic,relaxed,1.1526795099383855
ecstatic,quiet,0.7472144018302211
ecstatic,serene,1.2396908869280152
ecstatic,angry,2.2512917986064953
ecstatic,irritated,1.55814461804655
ecstatic,enraged,2.0281482472922856
ecstatic,annoyed,1.55814461804655
ecstatic,hateful,2.2512917986064953
ecstatic,sad,2.0281482472922856
ecstatic,depressed,1.55814461804655
ecstatic,grief,1.6916760106710724
ecstatic,unhappy,2.0281482472922856
ecstatic,upset,1.4403615823901665
cheerful,happy,1.6916760106710724
cheerful,delighted,1.845826690498331
cheerful,ecstatic,1.6916760106710724
cheerful,calm,1.845826690498331
cheerful,peaceful,2.0281482472922856
cheerful,relaxed,1.55814461804655
cheerful,quiet,0.9985288301111273
cheerful,serene,1.6916760106710724
cheerful,angry,1.845826690498331
cheerful,irritated,1.845826690498331
cheerful,enraged,1.6916760106710724
cheerful,annoyed,1.845826690498331
cheerful,hateful,1.845826690498331
cheerful,sad,2.0281482472922856
cheerful,depressed,1.845826690498331
cheerful,grief,1.6916760106710724
cheerful,unhappy,2.0281482472922856
cheerful,upset,1.6916760106710724
calm,happy,1.3350010667323402
calm,delighted,1.4403615823901665
calm,ecstatic,1.3350010667323402
calm,cheerful,1.845826690498331
calm,peaceful,1.55814461804655
calm,relaxed,1.2396908869280152
calm,quiet,0.8043728156701697
calm,serene,2.9444389791664407
calm,angry,1.4403615823901665
calm,irritated,1.4403615823901665
calm,enraged,1.3350010667323402
calm,annoyed,1.4403615823901665
calm,hateful,1.4403615823901665
calm,sad,1.55814461804655
calm,depressed,1.4403615823901665
calm,grief,1.3350010667323402
calm,unhappy,1.55814461804655
calm,upset,1.3350010667323402
peaceful,happy,1.6916760106710724
peaceful,delighted,1.845826690498331
peaceful,ecstatic,1.6916760106710724
peaceful,cheerful,2.0281482472922856
peaceful,calm,1.55814461804655
peaceful,relaxed,1.3350010667323402
peaceful,quiet,0.8649974374866046
peaceful,serene,1.4403615823901665
peaceful,angry,1.845826690498331
peaceful,irritated,1.845826690498331
peaceful,enraged,1.6916760106710724
peaceful,annoyed,1.845826690498331
peaceful,hateful,1.845826690498331
peaceful,sad,2.0281482472922856
peaceful,depressed,1.845826690498331
peaceful,grief,1.6916760106710724
peaceful,unhappy,2.0281482472922856
peaceful,upset,1.6916760106710724
relaxed,happy,1.1526795099383855
relaxed,delighted,1.2396908869280152
relaxed,ecstatic,1.1526795099383855
relaxed,cheerful,1.55814461804655
relaxed,calm,1.2396908869280152
relaxed,peaceful,1.3350010667323402
relaxed,quiet,1.2396908869280152
relaxed,serene,1.1526795099383855
relaxed,angry,1.2396908869280152
relaxed,irritated,1.2396908869280152
relaxed,enraged,1.1526795099383855
relaxed,annoyed,1.2396908869280152
relaxed,hateful,1.2396908869280152
relaxed,sad,1.3350010667323402
relaxed,depressed,1.2396908869280152
relaxed,grief,1.1526795099383855
relaxed,unhappy,1.3350010667323402
relaxed,upset,1.1526795099383855
quiet,happy,0.7472144018302211
quiet,delighted,0.8043728156701697
quiet,ecstatic,0.7472144018302211
quiet,cheerful,0.9985288301111273
quiet,calm,0.8043728156701697
quiet,peaceful,0.8649974374866046
quiet,relaxed,1.2396908869280152
quiet,serene,0.7472144018302211
quiet,angry,0.8043728156701697
quiet,irritated,0.8043728156701697
quiet,enraged,0.7472144018302211
quiet,annoyed,0.8043728156701697
quiet,hateful,0.8043728156701697
quiet,sad,0.8649974374866046
quiet,depressed,0.8043728156701697
quiet,grief,0.7472144018302211
quiet,unhappy,0.8649974374866046
quiet,upset,0.7472144018302211
serene,happy,1.2396908869280152
serene,delighted,1.3350010667323402
serene,ecstatic,1.2396908869280152
serene,cheerful,1.6916760106710724
serene,calm,2.9444389791664407
serene,peaceful,1.4403615823901665
serene,relaxed,1.1526795099383855
serene,quiet,0.7472144018302211
serene,angry,1.3350010667323402
serene,irritated,1.3350010667323402
serene,enraged,1.2396908869280152
serene,annoyed,1.3350010667323402
serene,hateful,1.3350010667323402
serene,sad,1.4403615823901665
serene,depressed,1.3350010667323402
serene,grief,1.2396908869280152
serene,unhappy,1.4403615823901665
serene,upset,1.2396908869280152
angry,happy,2.2512917986064953
angry,delighted,2.0281482472922856
angry,ecstatic,2.2512917986064953
angry,cheerful,1.845826690498331
angry,calm,1.4403615823901665
angry,peaceful,1.845826690498331
angry,relaxed,1.2396908869280152
angry,quiet,0.8043728156701697
angry,serene,1.3350010667323402
angry,irritated,1.6916760106710724
angry,enraged,2.9444389791664407
angry,annoyed,1.6916760106710724
angry,hateful,2.538973871058276
angry,sad,2.2512917986064953
angry,depressed,1.6916760106710724
angry,grief,1.845826690498331
angry,unhappy,2.2512917986064953
angry,upset,1.55814461804655
irritated,happy,1.55814461804655
irritated,delighted,1.6916760106710724
irritated,ecstatic,1.55814461804655
irritated,cheerful,1.845826690498331
irritated,calm,1.4403615823901665
irritated,peaceful,1.845826690498331
irritated,relaxed,1.2396908869280152
irritated,quiet,0.8043728156701697
irritated,serene,1.3350010667323402
irritated,angry,1.6916760106710724
irritated,enraged,1.55814461804655
irritated,annoyed,3.6375861597263857
irritated,hateful,1.6916760106710724
irritated,sad,1.845826690498331
irritated,depressed,2.538973871058276
irritated,grief,1.55814461804655
irritated,unhappy,1.845826690498331
irritated,upset,2.2512917986064953
enraged,happy,2.0281482472922856
enraged,delighted,1.845826690498331
enraged,ecstatic,2.0281482472922856
enraged,cheerful,1.6916760106710724
enraged,calm,1.3350010667323402
enraged,peaceful,1.6916760106710724
enraged,relaxed,1.1526795099383855
enraged,quiet,0.7472144018302211
enraged,serene,1.2396908869280152
enraged,angry,2.9444389791664407
enraged,irritated,1.55814461804655
enraged,annoyed,1.55814461804655
enraged,hateful,2.2512917986064953
enraged,sad,2.0281482472922856
enraged,depressed,1.55814461804655
enraged,grief,1.6916760106710724
enraged,unhappy,2.0281482472922856
enraged,upset,1.4403615823901665
annoyed,happy,1.55814461804655
annoyed,delighted,1.6916760106710724
annoyed,ecstatic,1.55814461804655
annoyed,cheerful,1.845826690498331
annoyed,calm,1.4403615823901665
annoyed,peaceful,1.845826690498331
annoyed,relaxed,1.2396908869280152
annoyed,quiet,0.8043728156701697
annoyed,serene,1.3350010667323402
annoyed,angry,1.6916760106710724
annoyed,irritated,3.6375861597263857
annoyed,enraged,1.55814461804655
annoyed,hateful,1.6916760106710724
annoyed,sad,1.845826690498331
annoyed,depressed,2.538973871058276
annoyed,grief,1.55814461804655
annoyed,unhappy,1.845826690498331
annoyed,upset,2.2512917986064953
hateful,happy,2.2512917986064953
hateful,delighted,2.0281482472922856
hateful,ecstatic,2.2512917986064953
hateful,cheerful,1.845826690498331
hateful,calm,1.4403615823901665
hateful,peaceful,1.845826690498331
hateful,relaxed,1.2396908869280152
hateful,quiet,0.8043728156701697
hateful,serene,1.3350010667323402
hateful,angry,2.538973871058276
hateful,irritated,1.6916760106710724
hateful,enraged,2.2512917986064953
hateful,annoyed,1.6916760106710724
hateful,sad,2.2512917986064953
hateful,depressed,1.6916760106710724
hateful,grief,1.845826690498331
hateful,unhappy,2.2512917986064953
hateful,upset,1.55814461804655
sad,happy,2.0281482472922856
sad,delighted,2.2512917986064953
sad,ecstatic,2.0281482472922856
sad,cheerful,2.0281482472922856
sad,calm,1.55814461804655
sad,peaceful,2.0281482472922856
sad,relaxed,1.3350010667323402
sad,quiet,0.8649974374866046
sad,serene,1.4403615823901665
sad,angry,2.2512917986064953
sad,irritated,1.845826690498331
sad,enraged,2.0281482472922856
sad,annoyed,1.845826690498331
sad,hateful,2.2512917986064953
sad,depressed,1.845826690498331
sad,grief,2.538973871058276
sad,unhappy,3.6375861597263857
sad,upset,1.6916760106710724
depressed,happy,1.55814461804655
depressed,delighted,1.6916760106710724
depressed,ecstatic,1.55814461804655
depressed,cheerful,1.845826690498331
depressed,calm,1.4403615823901665
depressed,peaceful,1.845826690498331
depressed,relaxed,1.2396908869280152
depressed,quiet,0.8043728156701697
depressed,serene,1.3350010667323402
depressed,angry,1.6916760106710724
depressed,irritated,2.538973871058276
depressed,enraged,1.55814461804655
depressed,annoyed,2.538973871058276
depressed,hateful,1.6916760106710724
depressed,sad,1.845826690498331
depressed,grief,1.55814461804655
depressed,unhappy,1.845826690498331
depressed,upset,2.2512917986064953
grief,happy,1.6916760106710724
grief,delighted,1.845826690498331
grief,ecstatic,1.6916760106710724
grief,cheerful,1.6916760106710724
grief,calm,1.3350010667323402
grief,peaceful,1.6916760106710724
grief,relaxed,1.1526795099383855
grief,quiet,0.7472144018302211
grief,serene,1.2396908869280152
grief,angry,1.845826690498331
grief,irritated,1.55814461804655
grief,enraged,1.6916760106710724
grief,annoyed,1.55814461804655
grief,hateful,1.845826690498331
grief,sad,2.538973871058276
grief,depressed,1.55814461804655
grief,unhappy,2.538973871058276
grief,upset,1.4403615823901665
unhappy,happy,2.0281482472922856
unhappy,delighted,2.2512917986064953
unhappy,ecstatic,2.0281482472922856
unhappy,cheerful,2.0281482472922856
unhappy,calm,1.55814461804655
unhappy,peaceful,2.0281482472922856
unhappy,relaxed,1.3350010667323402
unhappy,quiet,0.8649974374866046
unhappy,serene,1.4403615823901665
unhappy,angry,2.2512917986064953
unhappy,irritated,1.845826690498331
unhappy,enraged,2.0281482472922856
unhappy,annoyed,1.845826690498331
unhappy,hateful,2.2512917986064953
unhappy,sad,3.6375861597263857
unhappy,depressed,1.845826690498331
unhappy,grief,2.538973871058276
unhappy,upset,1.6916760106710724
upset,happy,1.4403615823901665
upset,delighted,1.55814461804655
upset,ecstatic,1.4403615823901665
upset,cheerful,1.6916760106710724
upset,calm,1.3350010667323402
upset,peaceful,1.6916760106710724
upset,relaxed,1.1526795099383855
upset,quiet,0.7472144018302211
upset,serene,1.2396908869280152
upset,angry,1.55814461804655
upset,irritated,2.2512917986064953
upset,enraged,1.4403615823901665
upset,annoyed,2.2512917986064953
