Word1,Word2,Similarity
happy,delighted,0.16666666666666666
happy,ecstatic,0.3333333333333333
happy,cheerful,0.14285714285714285
happy,calm,0.1
happy,peaceful,0.14285714285714285
happy,relaxed,0.08333333333333333
happy,quiet,0.05555555555555555
happy,serene,0.09090909090909091
happy,angry,0.25
happy,irritated,0.125
happy,enraged,0.2
happy,annoyed,0.125
happy,hateful,0.25
happy,sad,0.2
happy,depressed,0.125
happy,grief,0.14285714285714285
happy,unhappy,0.2
happy,upset,0.1111111111111111
delighted,happy,0.16666666666666666
delighted,ecstatic,0.16666666666666666
delighted,cheerful,0.16666666666666666
delighted,calm,0.1111111111111111
delighted,peaceful,0.16666666666666666
delighted,relaxed,0.09090909090909091
delighted,quiet,0.058823529411764705
delighted,serene,0.1
delighted,angry,0.2
delighted,irritated,0.14285714285714285
delighted,enraged,0.16666666666666666
delighted,annoyed,0.14285714285714285
delighted,hateful,0.2
delighted,sad,0.25
delighted,depressed,0.14285714285714285
delighted,grief,0.16666666666666666
delighted,unhappy,0.25
delighted,upset,0.125
ecstatic,happy,0.3333333333333333
ecstatic,delighted,0.16666666666666666
ecstatic,cheerful,0.14285714285714285
ecstatic,calm,0.1
ecstatic,peaceful,0.14285714285714285
ecstatic,relaxed,0.08333333333333333
ecstatic,quiet,0.05555555555555555
ecstatic,serene,0.09090909090909091
ecstatic,angry,0.25
ecstatic,irritated,0.125
ecstatic,enraged,0.2
ecstatic,annoyed,0.125
ecstatic,hateful,0.25
ecstatic,sad,0.2
ecstatic,depressed,0.125
ecstatic,grief,0.14285714285714285
ecstatic,unhappy,0.2
ecstatic,upset,0.1111111111111111
cheerful,happy,0.14285714285714285
cheerful,delighted,0.16666666666666666
cheerful,ecstatic,0.14285714285714285
cheerful,calm,0.16666666666666666
cheerful,peaceful,0.2
cheerful,relaxed,0.125
cheerful,quiet,0.07142857142857142
cheerful,serene,0.14285714285714285
cheerful,angry,0.16666666666666666
cheerful,irritated,0.16666666666666666
cheerful,enraged,0.14285714285714285
cheerful,annoyed,0.16666666666666666
cheerful,hateful,0.16666666666666666
cheerful,sad,0.2
cheerful,depressed,0.16666666666666666
cheerful,grief,0.14285714285714285
cheerful,unhappy,0.2
cheerful,upset,0.14285714285714285
calm,happy,0.1
calm,delighted,0.1111111111111111
calm,ecstatic,0.1
calm,cheerful,0.16666666666666666
calm,peaceful,0.125
calm,relaxed,0.09090909090909091
calm,quiet,0.058823529411764705
calm,serene,0.5
calm,angry,0.1111111111111111
calm,irritated,0.1111111111111111
calm,enraged,0.1
calm,annoyed,0.1111111111111111
calm,hateful,0.1111111111111111
calm,sad,0.125
calm,depressed,0.1111111111111111
calm,grief,0.1
calm,unhappy,0.125
calm,upset,0.1
peaceful,happy,0.14285714285714285
peaceful,delighted,0.16666666666666666
peaceful,ecstatic,0.14285714285714285
peaceful,cheerful,0.2
peaceful,calm,0.125
peaceful,relaxed,0.1
peaceful,quiet,0.0625
peaceful,serene,0.1111111111111111
peaceful,angry,0.16666666666666666
peaceful,irritated,0.16666666666666666
peaceful,enraged,0.14285714285714285
peaceful,annoyed,0.16666666666666666
peaceful,hateful,0.16666666666666666
peaceful,sad,0.2
peaceful,depressed,0.16666666666666666
peaceful,grief,0.14285714285714285
peaceful,unhappy,0.2
peaceful,upset,0.14285714285714285
relaxed,happy,0.08333333333333333
relaxed,delighted,0.09090909090909091
relaxed,ecstatic,0.08333333333333333
relaxed,cheerful,0.125
relaxed,calm,0.09090909090909091
relaxed,peaceful,0.1
relaxed,quiet,0.09090909090909091
relaxed,serene,0.08333333333333333
relaxed,angry,0.09090909090909091
relaxed,irritated,0.09090909090909091
relaxed,enraged,0.08333333333333333
relaxed,annoyed,0.09090909090909091
relaxed,hateful,0.09090909090909091
relaxed,sad,0.1
relaxed,depressed,0.09090909090909091
relaxed,grief,0.08333333333333333
relaxed,unhappy,0.1
relaxed,upset,0.08333333333333333
quiet,happy,0.05555555555555555
quiet,delighted,0.058823529411764705
quiet,ecstatic,0.05555555555555555
quiet,cheerful,0.07142857142857142
quiet,calm,0.058823529411764705
quiet,peaceful,0.0625
quiet,relaxed,0.09090909090909091
quiet,serene,0.05555555555555555
quiet,angry,0.058823529411764705
quiet,irritated,0.058823529411764705
quiet,enraged,0.05555555555555555
quiet,annoyed,0.058823529411764705
quiet,hateful,0.058823529411764705
quiet,sad,0.0625
quiet,depressed,0.058823529411764705
quiet,grief,0.05555555555555555
quiet,unhappy,0.0625
quiet,upset,0.05555555555555555
serene,happy,0.09090909090909091
serene,delighted,0.1
serene,ecstatic,0.09090909090909091
