Source,Target,Type,Id,Label,timeset,Weight
peac,enrag,Undirected,349,,,0.033
hate,peac,Undirected,350,,,0.033
unhappi,ecstat,Undirected,351,,,0.032
happi,delight,Undirected,352,,,0.032
hate,relax,Undirected,353,,,0.031
irrit,osama,Undirected,354,,,0.003
cheer,ecstat,Undirected,355,,,0.03
glad,seren,Undirected,356,,,0.03
annoy,grief,Undirected,357,,,0.029
calm,osama,Undirected,358,,,0.0029
happi,irrit,Undirected,359,,,0.029
sad,ecstat,Undirected,360,,,0.028
angri,enrag,Undirected,361,,,0.026
sad,seren,Undirected,362,,,0.026
happi,seren,Undirected,363,,,0.026
happi,osama,Undirected,364,,,0.0025
hate,grief,Undirected,365,,,0.025
happi,grief,Undirected,366,,,0.025
irrit,ecstat,Undirected,367,,,0.025
seren,ecstat,Undirected,368,,,0.025
quiet,enrag,Undirected,369,,,0.025
relax,osama,Undirected,370,,,0.0024
happi,calm,Undirected,371,,,0.024
cheer,seren,Undirected,372,,,0.023
ecstat,enrag,Undirected,373,,,0.023
upset,enrag,Undirected,374,,,0.023
sad,enrag,Undirected,375,,,0.022
angri,ecstat,Undirected,376,,,0.022
annoy,ecstat,Undirected,377,,,0.02
unhappi,enrag,Undirected,378,,,0.019
delight,enrag,Undirected,379,,,0.019
peac,ecstat,Undirected,380,,,0.019
osama,ecstat,Undirected,381,,,0.0017
happi,ecstat,Undirected,382,,,0.017
annoy,seren,Undirected,383,,,0.017
hate,delight,Undirected,384,,,0.016
depress,enrag,Undirected,385,,,0.016
seren,osama,Undirected,386,,,0.0015
glad,enrag,Undirected,387,,,0.015
calm,enrag,Undirected,388,,,0.015
relax,enrag,Undirected,389,,,0.014
hate,enrag,Undirected,390,,,0.013
annoy,enrag,Undirected,391,,,0.013
irrit,enrag,Undirected,392,,,0.012
calm,ecstat,Undirected,393,,,0.012
hate,seren,Undirected,394,,,0.01
cheer,enrag,Undirected,395,,,0.009
hate,ecstat,Undirected,396,,,0.008
seren,enrag,Undirected,397,,,0.008
